-0.8153, -0.6275, -0.3089, -0.2065, 7
 0.3409, -0.1654,  0.1174, -0.7192, 1
 0.7892, -0.8299, -0.9219, -0.6603, 1
-0.8033, -0.1578,  0.9158,  0.0663, 2
-0.3690,  0.3730,  0.6693, -0.9634, 0
-0.7953, -0.1719,  0.3888, -0.1716, 4
 0.7666,  0.2473,  0.5019, -0.3022, 1
 0.7918, -0.1438,  0.9297,  0.3269, 1
-0.5259,  0.8068,  0.1474, -0.9943, 3
-0.3467,  0.0541,  0.7719, -0.2855, 1
 0.2467, -0.9684,  0.8589,  0.3818, 1
-0.6553, -0.7257,  0.8652,  0.3936, 2
 0.5109,  0.5078,  0.8460,  0.4230, 5
-0.9602, -0.9476, -0.9434, -0.5076, 9
 0.0777,  0.1056,  0.6841, -0.7517, 0
 0.1715,  0.9392,  0.1221, -0.9627, 2
 0.1125, -0.7271, -0.8802, -0.7573, 2
-0.7850, -0.5486,  0.4260,  0.1194, 4
 0.4907,  0.3385, -0.4702, -0.8673, 2
 0.2594, -0.5797,  0.5055, -0.8669, 0
 0.6095, -0.6131,  0.2789,  0.0493, 1
-0.4734, -0.8681,  0.4701,  0.5444, 5
 0.8639, -0.9721, -0.5313,  0.2336, 4
 0.9004,  0.1133,  0.8312,  0.2831, 1
 0.0113, -0.9570,  0.8959,  0.6542, 1
 0.8802,  0.1640,  0.7577,  0.6895, 5
-0.0802,  0.0927,  0.5972, -0.4286, 1
 0.1982, -0.9689,  0.1870, -0.1326, 1
-0.3695,  0.7858,  0.1557, -0.6320, 5
 0.2241, -0.8922, -0.1596,  0.3581, 5
 0.6577,  0.1494,  0.2562, -0.4288, 1
-0.1970, -0.3652,  0.2438, -0.1395, 2
 0.3556, -0.6029, -0.1466, -0.3133, 1
 0.7600,  0.8077,  0.3254, -0.4596, 2
 0.7098,  0.0554,  0.6043,  0.1450, 2
 0.6237,  0.7499,  0.3768,  0.1390, 8
 0.8326,  0.8193, -0.4858, -0.7782, 4
-0.1683,  0.2334, -0.5327, -0.7961, 5
-0.0457, -0.6947,  0.2436,  0.0880, 2
 0.5405,  0.4635, -0.4806, -0.4859, 7
-0.3995, -0.7140,  0.8026,  0.0831, 1
-0.1162,  0.1632,  0.9795, -0.5922, 0
-0.4757,  0.5003, -0.0860, -0.8861, 3
-0.5761,  0.5972, -0.4053, -0.9448, 7
 0.6877, -0.2380,  0.4997,  0.0223, 1
 0.8951, -0.5571, -0.4659, -0.8371, 0
-0.7132, -0.8432, -0.9633, -0.8666, 3
